iter	Passed	Remaining
0	156	7686
1	173	4170
2	183	2872
3	188	2169
4	200	1801
5	232	1704
6	262	1613
7	283	1487
8	293	1337
9	297	1189
10	300	1067
11	304	963
12	309	879
13	314	814	370	864
15	398	846
16	409	794
17	429	763
18	460	751
19	465	697
20	470	649
21	476	606
22	481	565
23	508	550
24	538	538
25	587	542
26	594	506
27	621	487
28	636	460
29	648	432
30	653	400
31	659	370
32	664	342
33	669	315
34	685	293
35	692	269
36	698	245
37	707	223
38	712	200
39	715	178
40	719	157
41	729	138
42	733	119
43	736	100
44	740	82
45	743	64
46	747	47
47	750	31
48	754	15
49	757	0

